epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.652,0.62373,1.57278,0.93484,0.69753,0.86144,0.83875,0.76861,0.416,0.9942,0.83571,0.00332927,0.00332927,0.00332927
2,132.582,0.56619,1.00558,0.90381,0.69735,0.84138,0.81796,0.76038,0.37856,0.98931,0.83189,0.00659665,0.00659665,0.00659665
3,197.56,0.609,0.90821,0.9272,0.69127,0.86121,0.83722,0.75389,0.46581,0.82,0.86074,0.00979802,0.00979802,0.00979802
4,261.656,0.61242,0.83187,0.93794,0.7972,0.84228,0.87813,0.80476,0.43596,0.7132,0.86536,0.009703,0.009703,0.009703
5,325.323,0.56738,0.7331,0.92408,0.79609,0.88957,0.90943,0.82984,0.4415,0.62394,0.86413,0.009604,0.009604,0.009604
6,386.776,0.53707,0.66654,0.91635,0.65277,0.89741,0.84945,0.77125,0.45991,0.84965,0.87035,0.009505,0.009505,0.009505
7,449.96,0.51555,0.63125,0.90895,0.78193,0.91259,0.92155,0.85232,0.42394,0.5937,0.86787,0.009406,0.009406,0.009406
8,512.383,0.49762,0.59527,0.90726,0.844,0.87247,0.92748,0.87652,0.36288,0.56105,0.84138,0.009307,0.009307,0.009307
9,575.867,0.4865,0.56831,0.90302,0.8863,0.91689,0.96398,0.89006,0.41842,0.4797,0.86286,0.009208,0.009208,0.009208
10,639.96,0.47375,0.55244,0.89951,0.91261,0.92977,0.96814,0.91701,0.36763,0.417,0.84635,0.009109,0.009109,0.009109
11,703.891,0.46091,0.52756,0.89304,0.93214,0.93398,0.98024,0.93483,0.35069,0.37421,0.84021,0.00901,0.00901,0.00901
12,766.516,0.45441,0.51154,0.89359,0.82793,0.92414,0.94202,0.87715,0.41921,0.49273,0.86985,0.008911,0.008911,0.008911
13,829.133,0.45002,0.49683,0.89352,0.94032,0.9466,0.98059,0.93888,0.3426,0.35878,0.83889,0.008812,0.008812,0.008812
14,891.456,0.43825,0.48783,0.89007,0.91126,0.94633,0.97618,0.93731,0.34299,0.36985,0.83714,0.008713,0.008713,0.008713
15,953.24,0.43671,0.47566,0.88813,0.92213,0.91876,0.97245,0.92923,0.34621,0.40565,0.84303,0.008614,0.008614,0.008614
16,1015.96,0.42758,0.46378,0.8861,0.89587,0.93234,0.96949,0.93129,0.33756,0.41333,0.83958,0.008515,0.008515,0.008515
17,1079.18,0.42671,0.46145,0.88622,0.90378,0.91601,0.97526,0.93422,0.33507,0.45072,0.83653,0.008416,0.008416,0.008416
18,1142.62,0.42012,0.4449,0.88357,0.94445,0.963,0.98474,0.94534,0.32719,0.30937,0.83257,0.008317,0.008317,0.008317
19,1205.23,0.41645,0.43889,0.88331,0.93834,0.9417,0.98165,0.94675,0.32622,0.35338,0.83214,0.008218,0.008218,0.008218
20,1268.14,0.41489,0.43777,0.88312,0.94295,0.94936,0.98617,0.95086,0.32705,0.31284,0.83874,0.008119,0.008119,0.008119
21,1332.25,0.40604,0.4226,0.8801,0.9348,0.95869,0.98749,0.94953,0.33136,0.32629,0.83601,0.00802,0.00802,0.00802
22,1394.96,0.40707,0.4262,0.8833,0.92493,0.91257,0.97974,0.94223,0.32604,0.39987,0.8375,0.007921,0.007921,0.007921
23,1457.62,0.4002,0.41367,0.8785,0.96758,0.96552,0.99067,0.95648,0.32306,0.29505,0.83257,0.007822,0.007822,0.007822
24,1519.37,0.3988,0.40857,0.87892,0.94709,0.95474,0.98743,0.94925,0.32489,0.3154,0.83777,0.007723,0.007723,0.007723
25,1582.82,0.39581,0.40656,0.87669,0.9712,0.96934,0.99145,0.95598,0.31849,0.27007,0.83106,0.007624,0.007624,0.007624
26,1644.69,0.39055,0.39237,0.8768,0.94837,0.9394,0.98118,0.9461,0.32239,0.32463,0.83864,0.007525,0.007525,0.007525
27,1707.26,0.39067,0.39039,0.87617,0.96262,0.97214,0.99133,0.95549,0.32374,0.26999,0.83696,0.007426,0.007426,0.007426
28,1769.33,0.38759,0.38796,0.87559,0.952,0.96595,0.98929,0.9563,0.31481,0.28033,0.83973,0.007327,0.007327,0.007327
29,1832.03,0.38445,0.38217,0.87432,0.94388,0.96041,0.98518,0.95,0.3166,0.30811,0.83917,0.007228,0.007228,0.007228
30,1894.33,0.38351,0.37803,0.87334,0.95298,0.96476,0.98985,0.95697,0.31323,0.28817,0.8269,0.007129,0.007129,0.007129
31,1956.31,0.38128,0.37523,0.87305,0.97065,0.97795,0.99093,0.95823,0.31681,0.26508,0.83794,0.00703,0.00703,0.00703
32,2018.02,0.37459,0.3673,0.87026,0.96482,0.95784,0.99286,0.96239,0.3077,0.25011,0.82992,0.006931,0.006931,0.006931
33,2080.05,0.3742,0.36609,0.87175,0.95631,0.96218,0.99051,0.96042,0.30774,0.27838,0.82905,0.006832,0.006832,0.006832
34,2143.83,0.37313,0.35949,0.87108,0.95428,0.98142,0.9913,0.96029,0.30821,0.24661,0.83107,0.006733,0.006733,0.006733
35,2207.59,0.37096,0.35535,0.86876,0.95445,0.97172,0.98869,0.95675,0.30462,0.25744,0.82865,0.006634,0.006634,0.006634
36,2271.93,0.37084,0.35446,0.87188,0.96794,0.97523,0.99274,0.96137,0.31802,0.25785,0.83952,0.006535,0.006535,0.006535
37,2335.72,0.36995,0.35542,0.87003,0.97805,0.96209,0.99318,0.96399,0.31259,0.24505,0.83053,0.006436,0.006436,0.006436
38,2399.93,0.3694,0.35377,0.86988,0.96547,0.97309,0.99277,0.96242,0.30747,0.23912,0.82991,0.006337,0.006337,0.006337
39,2462.45,0.36391,0.34496,0.86903,0.98826,0.96856,0.99367,0.96593,0.3009,0.22383,0.83553,0.006238,0.006238,0.006238
40,2525.34,0.36225,0.34025,0.86752,0.98098,0.9624,0.99302,0.96466,0.30057,0.22906,0.83048,0.006139,0.006139,0.006139
41,2588.01,0.3594,0.33673,0.8661,0.97311,0.96464,0.99194,0.9626,0.30037,0.23903,0.827,0.00604,0.00604,0.00604
42,2650.79,0.35891,0.33743,0.86862,0.98623,0.97682,0.99406,0.96542,0.30325,0.21074,0.83273,0.005941,0.005941,0.005941
43,2713.44,0.35574,0.32853,0.86352,0.97636,0.97328,0.99342,0.96384,0.30032,0.23017,0.82879,0.005842,0.005842,0.005842
44,2776.54,0.35479,0.32906,0.86471,0.98041,0.97312,0.99362,0.96501,0.29462,0.22179,0.82764,0.005743,0.005743,0.005743
45,2839.75,0.351,0.32316,0.86401,0.98256,0.9806,0.9936,0.96596,0.29988,0.22503,0.83161,0.005644,0.005644,0.005644
46,2902.55,0.35281,0.32128,0.86476,0.98548,0.98672,0.99414,0.96444,0.30739,0.21014,0.82794,0.005545,0.005545,0.005545
47,2964.79,0.35135,0.32054,0.86329,0.98581,0.98349,0.99409,0.96597,0.29849,0.20757,0.82625,0.005446,0.005446,0.005446
48,3027.72,0.34771,0.31812,0.86186,0.98178,0.98621,0.99384,0.96663,0.29589,0.20952,0.83201,0.005347,0.005347,0.005347
49,3090.85,0.35038,0.31615,0.86429,0.98464,0.98562,0.99442,0.96908,0.29455,0.20084,0.82571,0.005248,0.005248,0.005248
50,3154.41,0.34906,0.31521,0.86341,0.98295,0.99321,0.99468,0.96853,0.29431,0.19193,0.82588,0.005149,0.005149,0.005149
