epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6189,0.64188,1.20532,0.92015,0.95972,0.94795,0.98852,0.89208,0.43754,0.5725,0.8288,0.00055407,0.00055407,0.00055407
2,70.1105,0.57445,0.7223,0.91441,0.92431,0.94197,0.97265,0.89069,0.40635,0.48087,0.82938,0.00109875,0.00109875,0.00109875
3,104.205,0.56941,0.61964,0.92024,0.95399,0.93351,0.98848,0.89823,0.43155,0.43353,0.85057,0.00163243,0.00163243,0.00163243
4,137.743,0.54028,0.56423,0.90973,0.96229,0.96076,0.98576,0.91433,0.39595,0.37907,0.83674,0.00161749,0.00161749,0.00161749
5,171.275,0.51236,0.52397,0.90479,0.94432,0.94709,0.98489,0.92774,0.36925,0.36421,0.84243,0.00160099,0.00160099,0.00160099
6,205.616,0.50355,0.51213,0.89863,0.90328,0.90034,0.98829,0.92738,0.35521,0.46571,0.82634,0.00158448,0.00158448,0.00158448
7,241.102,0.48218,0.46784,0.89134,0.98194,0.97979,0.99398,0.92974,0.37058,0.30173,0.83494,0.00156798,0.00156798,0.00156798
8,275.598,0.4731,0.46628,0.89187,0.96546,0.97515,0.99141,0.93386,0.3584,0.33307,0.82312,0.00155148,0.00155148,0.00155148
9,308.272,0.46643,0.45326,0.88906,0.97947,0.9671,0.99386,0.94679,0.32988,0.27634,0.81999,0.00153497,0.00153497,0.00153497
10,341.227,0.45543,0.43566,0.8861,0.9867,0.97524,0.99018,0.94262,0.3407,0.2666,0.8258,0.00151847,0.00151847,0.00151847
11,374.319,0.44747,0.42505,0.88459,0.98688,0.98058,0.99325,0.95458,0.31025,0.25161,0.81228,0.00150197,0.00150197,0.00150197
12,406.956,0.43499,0.41162,0.87984,0.97853,0.98038,0.99329,0.93667,0.35552,0.26789,0.82925,0.00148546,0.00148546,0.00148546
13,440.495,0.43096,0.39936,0.87702,0.98119,0.98242,0.99091,0.93732,0.35309,0.26246,0.83389,0.00146896,0.00146896,0.00146896
14,475.046,0.42798,0.40809,0.87796,0.98104,0.97348,0.9936,0.94695,0.32716,0.25701,0.81901,0.00145246,0.00145246,0.00145246
15,507.992,0.42761,0.39978,0.87985,0.97139,0.97924,0.9944,0.95282,0.32089,0.25937,0.81102,0.00143595,0.00143595,0.00143595
16,540.549,0.41937,0.39274,0.87368,0.98251,0.9931,0.99411,0.95234,0.3202,0.2323,0.81788,0.00141945,0.00141945,0.00141945
17,572.942,0.41878,0.38706,0.87829,0.99529,0.98966,0.99491,0.96183,0.30923,0.22545,0.81021,0.00140295,0.00140295,0.00140295
18,605.324,0.41348,0.38387,0.87381,0.97661,0.97454,0.99429,0.95533,0.31325,0.24622,0.81452,0.00138644,0.00138644,0.00138644
19,637.891,0.41182,0.37093,0.87689,0.9895,0.99348,0.99491,0.95717,0.30469,0.21312,0.81472,0.00136994,0.00136994,0.00136994
20,670.382,0.40662,0.36997,0.87169,0.99319,0.99125,0.99495,0.95696,0.30642,0.22183,0.80901,0.00135344,0.00135344,0.00135344
21,703.245,0.40084,0.3631,0.86856,0.99349,0.98411,0.99453,0.95985,0.29798,0.21249,0.80686,0.00133693,0.00133693,0.00133693
22,735.796,0.39901,0.35809,0.86982,0.9914,0.99424,0.99483,0.95909,0.29616,0.20843,0.80903,0.00132043,0.00132043,0.00132043
23,768.293,0.39877,0.35631,0.86973,0.98997,0.99006,0.99492,0.96214,0.29348,0.21188,0.80532,0.00130393,0.00130393,0.00130393
24,800.704,0.39879,0.35468,0.86913,0.98936,0.99503,0.99491,0.95893,0.29869,0.20855,0.80997,0.00128742,0.00128742,0.00128742
25,833.228,0.39074,0.35042,0.86642,0.998,0.9959,0.99499,0.96422,0.28528,0.19448,0.80392,0.00127092,0.00127092,0.00127092
26,866.201,0.39198,0.35033,0.87018,0.99769,0.99306,0.99496,0.96399,0.28535,0.1974,0.80748,0.00125442,0.00125442,0.00125442
27,898.652,0.38905,0.34425,0.86892,0.99415,0.99485,0.995,0.96529,0.28636,0.19026,0.80597,0.00123791,0.00123791,0.00123791
28,931.165,0.38256,0.34075,0.86432,0.99226,0.99067,0.99486,0.96403,0.29246,0.19646,0.80473,0.00122141,0.00122141,0.00122141
29,963.644,0.38525,0.33933,0.86895,0.99854,0.99398,0.99499,0.96368,0.28771,0.19163,0.80203,0.00120491,0.00120491,0.00120491
30,996.628,0.38522,0.34248,0.86867,0.99604,0.99878,0.995,0.96604,0.28361,0.18032,0.80332,0.0011884,0.0011884,0.0011884
31,1029.06,0.3831,0.33468,0.86768,0.98798,0.99655,0.99498,0.96333,0.2821,0.18725,0.80367,0.0011719,0.0011719,0.0011719
32,1062.79,0.37624,0.3299,0.86319,0.99472,0.99656,0.99498,0.96399,0.28478,0.19257,0.80189,0.0011554,0.0011554,0.0011554
33,1096.88,0.37553,0.32789,0.86379,0.98872,0.99213,0.9944,0.96168,0.29174,0.19778,0.80942,0.00113889,0.00113889,0.00113889
34,1130.18,0.37498,0.32615,0.86411,0.98387,0.98626,0.99257,0.96036,0.28216,0.20283,0.80226,0.00112239,0.00112239,0.00112239
35,1162.94,0.37217,0.32098,0.86304,0.9959,0.99475,0.99494,0.96654,0.27548,0.17931,0.80106,0.00110589,0.00110589,0.00110589
36,1195.36,0.37065,0.32336,0.86292,0.99521,0.97963,0.99495,0.96827,0.27408,0.19397,0.80026,0.00108938,0.00108938,0.00108938
37,1227.97,0.36837,0.31599,0.86079,0.99281,0.99155,0.99492,0.96729,0.27588,0.18799,0.79968,0.00107288,0.00107288,0.00107288
38,1260.45,0.36428,0.31122,0.859,0.99702,0.99576,0.995,0.96605,0.28204,0.17583,0.80306,0.00105638,0.00105638,0.00105638
39,1293.59,0.36533,0.3143,0.86182,0.99484,0.9985,0.99499,0.96701,0.27655,0.17236,0.80177,0.00103987,0.00103987,0.00103987
40,1326.17,0.36186,0.3114,0.86021,0.9993,0.99428,0.99497,0.96708,0.27567,0.17083,0.8005,0.00102337,0.00102337,0.00102337
41,1359.07,0.36179,0.30362,0.85964,0.99968,0.99916,0.995,0.96201,0.28214,0.16907,0.80401,0.00100687,0.00100687,0.00100687
42,1391.5,0.36157,0.30323,0.85961,0.99619,0.99565,0.99496,0.96562,0.27408,0.17281,0.79991,0.000990365,0.000990365,0.000990365
43,1424.01,0.35786,0.30099,0.85807,0.99962,0.99627,0.995,0.96574,0.27964,0.17089,0.80258,0.000973861,0.000973861,0.000973861
44,1456.53,0.35933,0.3051,0.85909,0.99771,0.99247,0.99498,0.96929,0.26997,0.17271,0.79923,0.000957358,0.000957358,0.000957358
45,1489.14,0.35546,0.30088,0.85641,0.99753,0.99398,0.99496,0.96824,0.28268,0.17303,0.80305,0.000940855,0.000940855,0.000940855
46,1521.67,0.34947,0.29392,0.85755,0.99605,0.99474,0.995,0.9689,0.27581,0.16824,0.79947,0.000924352,0.000924352,0.000924352
47,1553.98,0.3496,0.29394,0.85501,0.99976,0.99253,0.99499,0.9694,0.2722,0.16901,0.80152,0.000907848,0.000907848,0.000907848
48,1586.66,0.34761,0.29116,0.85527,0.99447,0.9972,0.995,0.96849,0.27129,0.16735,0.79896,0.000891345,0.000891345,0.000891345
49,1618.99,0.34979,0.29312,0.85609,0.99763,0.99723,0.995,0.96728,0.27464,0.16409,0.79877,0.000874842,0.000874842,0.000874842
50,1651.51,0.3476,0.29101,0.85588,0.99937,0.99387,0.99498,0.96676,0.27456,0.16703,0.80103,0.000858338,0.000858338,0.000858338
51,1684.95,0.34427,0.28642,0.85504,0.99715,0.99743,0.99498,0.9676,0.26722,0.16488,0.79876,0.000841835,0.000841835,0.000841835
52,1717.45,0.34578,0.28324,0.85475,0.99954,0.9972,0.995,0.9675,0.27186,0.16229,0.80108,0.000825332,0.000825332,0.000825332
53,1750.26,0.34285,0.28228,0.85444,0.99813,0.99315,0.99497,0.96855,0.27217,0.16688,0.80116,0.000808828,0.000808828,0.000808828
54,1782.63,0.34025,0.28031,0.85095,0.99719,0.9933,0.99498,0.97083,0.26737,0.16432,0.79761,0.000792325,0.000792325,0.000792325
