processed_ch1,processed_ch2,processed_ch3,processed_ch4
0.173370866,0.16236729,0.528856938,0.135404906
0.173360887,0.162524411,0.528686369,0.135428333
0.173350858,0.162681297,0.528516274,0.135451571
0.173340783,0.162837943,0.528346654,0.135474621
0.173330664,0.162994342,0.52817751,0.135497485
0.173320505,0.163150487,0.528008843,0.135520165
0.173310308,0.163306374,0.527840655,0.135542663
0.173300076,0.163461995,0.527672946,0.135564983
0.173289813,0.163617344,0.527505717,0.135587126
0.173279521,0.163772414,0.527338968,0.135609097
0.173269203,0.163927198,0.5271727,0.135630899
0.173258863,0.16408169,0.527006912,0.135652535
0.173248503,0.164235882,0.526841604,0.135674011
0.173238126,0.164389769,0.526676776,0.135695329
0.173227736,0.164543342,0.526512428,0.135716494
0.173217335,0.164696595,0.52634856,0.13573751
0.173206926,0.164849519,0.526185173,0.135758382
0.173196511,0.165002109,0.526022266,0.135779114
0.173186092,0.165154356,0.525859841,0.135799711
0.173175672,0.165306255,0.525697898,0.135820176
0.173165251,0.165457796,0.525536439,0.135840513
0.173154833,0.165608975,0.525375465,0.135860727
0.173144417,0.165759784,0.525214978,0.135880821
0.173134007,0.165910216,0.525054979,0.135900797
0.173123602,0.166060266,0.524895472,0.13592066
0.173113205,0.166209925,0.524736458,0.135940412
0.173102814,0.166359188,0.524577942,0.135960056
0.173092431,0.166508047,0.524419928,0.135979594
0.173082056,0.166656495,0.52426242,0.135999029
0.173071689,0.166804525,0.524105423,0.136018364
0.173061331,0.166952129,0.52394894,0.1360376
0.173050983,0.167099301,0.523792977,0.136056739
0.173040648,0.167246032,0.523637535,0.136075786
0.173030327,0.167392314,0.523482617,0.136094742
0.173020023,0.16753814,0.523328225,0.136113612
0.17300974,0.167683502,0.523174358,0.1361324
0.17299948,0.167828391,0.523021017,0.136151113
0.172989246,0.1679728,0.522868199,0.136169755
0.172979042,0.16811672,0.522715904,0.136188335
0.172968869,0.168260142,0.52256413,0.136206858
0.172958731,0.168403059,0.522412877,0.136225333
0.172948628,0.168545459,0.522262144,0.136243768
0.172938565,0.168687335,0.522111931,0.136262169
0.172928542,0.168828678,0.521962236,0.136280544
0.172918563,0.168969476,0.521813059,0.136298902
0.172908631,0.169109722,0.5216644,0.136317247
0.172898748,0.169249406,0.521516258,0.136335588
0.172888917,0.169388517,0.521368636,0.13635393
0.172879141,0.169527047,0.521221532,0.136372279
0.172869422,0.169664987,0.521074948,0.136390643
0.172859764,0.169802328,0.520928883,0.136409025
0.17285017,0.16993906,0.520783337,0.136427434
0.172840644,0.170075175,0.520638308,0.136445873
