processed_ch1,processed_ch2,processed_ch3,processed_ch4
0.419080656,0.071553529,0.189863082,0.319502733
0.418978617,0.071656497,0.189810945,0.31955394
0.418875562,0.071759433,0.189759663,0.319605342
0.418771499,0.071862331,0.189709229,0.31965694
0.41866644,0.071965184,0.189659639,0.319708736
0.418560395,0.072067986,0.189610887,0.319760732
0.418453376,0.072170728,0.189562968,0.319812928
0.418345395,0.072273403,0.189515876,0.319865326
0.418236461,0.072376004,0.18946961,0.319917925
0.418126585,0.072478521,0.189424167,0.319970726
0.418015778,0.072580947,0.189379546,0.320023729
0.41790405,0.072683271,0.189335744,0.320076934
0.417791411,0.072785486,0.189292761,0.320130342
0.417677871,0.072887583,0.189250594,0.320183952
0.41756344,0.072989553,0.189209242,0.320237765
0.417448128,0.07309139,0.189168702,0.32029178
0.417331945,0.073193086,0.189128972,0.320345997
0.417214901,0.073294635,0.189090049,0.320400414
0.417097008,0.073396029,0.189051932,0.320455032
0.416978274,0.073497264,0.189014615,0.320509848
0.416858709,0.073598334,0.188978096,0.320564861
0.416738323,0.073699233,0.188942374,0.320620069
0.416617123,0.073799958,0.188907448,0.320675471
0.416495116,0.073900505,0.188873316,0.320731063
0.41637231,0.07400087,0.188839979,0.320786841
0.416248712,0.074101047,0.188807437,0.320842804
0.416124328,0.074201032,0.188775693,0.320898947
0.415999164,0.074300821,0.188744748,0.320955267
0.415873227,0.074400409,0.188714603,0.321011761
0.415746525,0.074499788,0.18868526,0.321068427
0.415619064,0.074598955,0.188656721,0.32112526
0.415490852,0.074697904,0.188628986,0.321182259
0.415361896,0.074796629,0.188602057,0.321239419
0.415232203,0.074895125,0.188575934,0.321296738
0.415101782,0.074993387,0.188550618,0.321354213
0.41497064,0.075091411,0.188526108,0.321411841
0.414838784,0.075189191,0.188502406,0.32146962
0.414706222,0.075286721,0.188479512,0.321527546
0.414572959,0.075383996,0.188457429,0.321585616
0.414439001,0.075481011,0.188436161,0.321643827
0.414304354,0.075577762,0.188415711,0.321702172
0.414169023,0.075674245,0.188396083,0.321760649
0.414033013,0.075770456,0.188377281,0.321819251
0.413896328,0.075866392,0.188359305,0.321877975
0.413758973,0.075962053,0.18834216,0.321936814
0.413620954,0.076057436,0.188325847,0.321995763
0.413482276,0.07615254,0.188310369,0.322054815
0.413342942,0.076247364,0.188295729,0.322113965
0.413202957,0.076341905,0.188281933,0.322173205
0.413062324,0.076436161,0.188268985,0.32223253
0.412921048,0.07653013,0.188256889,0.322291933
0.412779132,0.076623809,0.188245649,0.32235141
0.41263658,0.076717195,0.188235271,0.322410954
0.412493396,0.076810287,0.188225758,0.32247056
0.412349585,0.07690308,0.188217113,0.322530222
0.412205151,0.076995571,0.18820934,0.322589938
0.412060097,0.077087757,0.188202443,0.322649704
0.411914428,0.077179632,0.188196422,0.322709517
0.41176815,0.077271193,0.188191282,0.322769376
0.411621266,0.077362434,0.188187024,0.322829276
0.411473785,0.077453352,0.18818365,0.322889214
0.41132571,0.077543942,0.188181161,0.322949187
0.41117705,0.0776342,0.188179559,0.323009191
0.411027811,0.077724123,0.188178844,0.323069222
0.410878001,0.077813707,0.188179018,0.323129275
0.410727627,0.077902948,0.18818008,0.323189345
0.410576698,0.077991844,0.188182031,0.323249427
0.410425223,0.07808039,0.188184871,0.323309516
0.410273211,0.078168583,0.1881886,0.323369606
0.410120672,0.078256419,0.188193217,0.323429692
0.409967615,0.078343894,0.188198723,0.323489768
0.409814051,0.078431004,0.188205118,0.323549827
0.40965999,0.078517745,0.1882124,0.323609864
0.409505443,0.078604113,0.188220571,0.323669873
0.409350422,0.078690102,0.18822963,0.323729847
0.409194936,0.078775708,0.188239577,0.323789779
0.409038997,0.078860926,0.188250412,0.323849665
0.408882615,0.078945751,0.188262135,0.323909499
0.408725801,0.079030179,0.188274745,0.323969275
0.408568567,0.079114206,0.188288239,0.324028987
0.408410922,0.079197829,0.188302616,0.324088633
0.408252878,0.079281044,0.188317873,0.324148206
0.408094445,0.079363847,0.188334006,0.324207703
0.407935634,0.079446235,0.188351011,0.32426712
0.407776456,0.079528204,0.188368886,0.324326454
0.407616923,0.079609751,0.188387623,0.324385703
0.407457046,0.079690871,0.18840722,0.324444864
0.407296836,0.079771559,0.188427669,0.324503936
0.407136305,0.079851811,0.188448966,0.324562918
0.406975463,0.079931623,0.188471103,0.32462181
0.406814323,0.080010989,0.188494077,0.324680612
0.406652894,0.080089904,0.188517879,0.324739323
0.406491186,0.080168364,0.188542506,0.324797944
0.406329212,0.080246362,0.188567951,0.324856475
0.40616698,0.080323895,0.188594209,0.324914917
0.406004501,0.080400958,0.188621273,0.324973269
0.405841785,0.080477547,0.188649136,0.325031533
0.405678841,0.08055366,0.188677791,0.325089709
0.405515678,0.080629294,0.18870723,0.325147798
0.405352304,0.08070445,0.188737446,0.3252058
0.405188727,0.080779126,0.18876843,0.325263717
0.405024956,0.08085332,0.188800174,0.32532155
0.404860997,0.080927033,0.188832669,0.325379301
0.40469686,0.081000262,0.188865906,0.325436972
0.404532553,0.081073005,0.188899875,0.325494567
0.404368085,0.08114526,0.188934567,0.325552088
0.404203465,0.081217024,0.188969974,0.325609536
0.404038703,0.081288294,0.189006087,0.325666916
0.403873808,0.081359067,0.189042897,0.325724228
0.40370879,0.081429339,0.189080395,0.325781476
0.403543659,0.081499107,0.189118572,0.325838662
0.403378423,0.081568368,0.18915742,0.325895789
0.403213091,0.08163712,0.189196928,0.325952861
0.403047673,0.081705361,0.189237087,0.326009878
0.402882178,0.081773089,0.189277889,0.326066844
0.402716613,0.081840302,0.189319325,0.32612376
0.402550988,0.081906999,0.189361385,0.326180627
0.402385313,0.081973178,0.189404061,0.326237449
0.402219595,0.082038837,0.189447342,0.326294225
0.402053846,0.082103975,0.189491221,0.326350959
0.401888074,0.082168589,0.189535685,0.326407652
0.401722289,0.082232678,0.189580724,0.326464308
0.401556501,0.082296242,0.189626328,0.326520929
0.401390718,0.082359277,0.189672486,0.326577519
0.40122495,0.082421784,0.189719186,0.32663408
0.401059204,0.082483762,0.189766419,0.326690615
0.400893488,0.082545208,0.18981418,0.326747125
0.400727806,0.082606122,0.189862461,0.326803612
0.400562165,0.082666503,0.189911258,0.326860074
0.400396569,0.082726351,0.189960567,0.326916513
0.400231025,0.082785664,0.190010384,0.326972928
0.400065537,0.082844441,0.190060704,0.327029318
0.399900112,0.082902681,0.190111523,0.327085683
0.399734756,0.082960384,0.190162836,0.327142024
0.399569475,0.083017549,0.190214636,0.32719834
0.399404276,0.083074176,0.190266917,0.327254631
0.399239169,0.083130264,0.190319673,0.327310895
0.39907416,0.083185813,0.190372894,0.327367133
0.398909261,0.083240821,0.190426573,0.327423345
0.398744479,0.08329529,0.190480703,0.327479529
0.398579825,0.083349216,0.190535273,0.327535685
