processed_ch1,processed_ch2,processed_ch3,processed_ch4
0.381697963,0.090705259,0.046512825,0.481083954
0.381630403,0.090809762,0.046468924,0.481090912
0.38156313,0.090914813,0.046425116,0.481096941
0.381496142,0.091020408,0.046381406,0.481102044
0.381429438,0.091126541,0.046337797,0.481106223
0.381363014,0.091233209,0.046294295,0.481109482
0.381296869,0.091340403,0.046250903,0.481111825
0.381231,0.09144812,0.046207626,0.481113255
0.381165403,0.091556353,0.046164467,0.481113777
0.381100076,0.091665096,0.04612143,0.481113397
0.381035017,0.091774344,0.046078519,0.48111212
0.380970221,0.091884091,0.046035736,0.481109953
0.380905688,0.091994329,0.045993084,0.4811069
0.380841416,0.092105052,0.045950565,0.481102968
0.380777407,0.092216252,0.045908181,0.48109816
0.380713661,0.092327924,0.045865934,0.481092481
0.380650179,0.092440058,0.045823825,0.481085937
0.380586965,0.092552648,0.045781857,0.48107853
0.380524021,0.092665686,0.045740028,0.481070266
0.38046135,0.092779162,0.045698339,0.481061148
0.380398955,0.092893072,0.045656791,0.481051182
0.380336838,0.093007406,0.045615385,0.481040371
0.380275001,0.093122159,0.04557412,0.481028719
0.380213444,0.093237325,0.045533,0.481016231
0.380152169,0.093352896,0.045492025,0.481002911
0.380091174,0.093468866,0.045451198,0.480988762
0.380030461,0.093585229,0.045410523,0.480973787
0.379970029,0.093701977,0.045370003,0.480957991
0.379909877,0.093819106,0.045329641,0.480941377
0.379850004,0.093936607,0.045289439,0.480923949
0.379790411,0.094054476,0.045249402,0.48090571
0.379731098,0.094172706,0.045209533,0.480886663
0.379672066,0.094291291,0.045169834,0.480866809
0.379613314,0.094410225,0.045130309,0.480846152
0.379554845,0.094529502,0.045090959,0.480824695
0.379496658,0.094649115,0.045051787,0.48080244
0.379438754,0.094769058,0.045012794,0.480779393
0.379381134,0.094889326,0.044973983,0.480755557
0.379323797,0.095009913,0.044935356,0.480730934
0.379266745,0.095130813,0.044896914,0.480705529
0.379209978,0.09525202,0.044858658,0.480679344
0.379153499,0.095373529,0.04482059,0.480652382
0.37909731,0.095495333,0.044782711,0.480624646
0.379041414,0.095617425,0.044745022,0.480596139
0.378985814,0.095739799,0.044707524,0.480566864
0.378930511,0.095862447,0.044670217,0.480536824
0.378875509,0.095985363,0.044633105,0.480506023
0.37882081,0.096108539,0.044596188,0.480474464
0.378766415,0.096231966,0.044559468,0.480442151
0.378712325,0.096355638,0.044522948,0.48040909
0.378658543,0.096479544,0.044486629,0.480375285
0.37860507,0.096603677,0.044450513,0.480340741
0.378551909,0.096728027,0.044414602,0.480305462
0.378499062,0.096852586,0.044378897,0.480269455
0.378446531,0.096977346,0.0443434,0.480232723
0.378394319,0.097102298,0.044308111,0.480195272
0.378342427,0.097227434,0.044273033,0.480157106
0.378290856,0.097352746,0.044238167,0.48011823
0.378239609,0.097478227,0.044203515,0.48007865
0.378188684,0.097603868,0.044169079,0.48003837
0.378138081,0.097729662,0.044134861,0.479997397
0.378087798,0.097855601,0.044100865,0.479955736
0.378037832,0.097981681,0.044067094,0.479913393
0.377988182,0.098107893,0.044033549,0.479870376
0.377938843,0.098234232,0.044000234,0.479826691
0.377889813,0.098360694,0.04396715,0.479782344
0.377841087,0.098487272,0.043934298,0.479737343
0.377792663,0.098613962,0.043901681,0.479691694
0.377744539,0.098740758,0.0438693,0.479645404
0.37769671,0.098867655,0.043837156,0.479598479
0.377649175,0.098994647,0.043805251,0.479550928
0.377601932,0.099121727,0.043773586,0.479502755
0.377554978,0.099248891,0.043742162,0.479453969
0.377508313,0.09937613,0.043710981,0.479404576
0.377461937,0.099503439,0.043680042,0.479354582
