processed_ch1,processed_ch2,processed_ch3,processed_ch4
0.163003323,0.087744389,0.073823484,0.675428805
0.162982432,0.087771905,0.073725252,0.67552041
0.162961667,0.087799396,0.073627294,0.675611644
0.162941025,0.087826861,0.073529611,0.675702503
0.162920507,0.087854302,0.07343221,0.675792981
0.16290011,0.087881719,0.073335093,0.675883077
0.162879835,0.087909114,0.073238264,0.675972787
0.162859679,0.087936488,0.073141726,0.676062107
0.162839642,0.087963841,0.073045482,0.676151035
0.162819724,0.087991173,0.072949536,0.676239567
0.162799925,0.088018486,0.07285389,0.676327699
0.162780243,0.08804578,0.072758549,0.676415428
0.162760679,0.088073054,0.072663517,0.676502749
0.162741233,0.088100309,0.0725688,0.676589658
0.162721904,0.088127544,0.072474402,0.67667615
0.162702693,0.088154758,0.072380329,0.67676222
0.162683599,0.088181951,0.072286586,0.676847864
0.162664622,0.088209124,0.072193176,0.676933078
0.162645764,0.088236275,0.072100104,0.677017857
0.162627023,0.088263406,0.072007373,0.677102197
0.162608402,0.088290518,0.071914987,0.677186093
0.162589901,0.08831761,0.071822949,0.67726954
0.162571521,0.088344684,0.071731262,0.677352534
0.162553263,0.088371741,0.071639928,0.677435068
0.162535129,0.088398783,0.071548951,0.677517138
0.162517118,0.088425812,0.071458334,0.677598736
0.162499233,0.088452829,0.071368081,0.677679857
0.162481472,0.088479835,0.071278197,0.677760495
0.162463838,0.088506833,0.071188686,0.677840644
0.162446328,0.088533823,0.071099551,0.677920298
0.162428944,0.088560807,0.071010795,0.677999454
0.162411686,0.088587786,0.070922424,0.678078104
0.162394553,0.088614765,0.070834439,0.678156244
0.162377547,0.088641743,0.070746844,0.678233866
0.162360667,0.088668725,0.070659644,0.678310964
0.162343913,0.088695713,0.070572842,0.678387532
0.162327287,0.088722708,0.070486443,0.678463562
0.162310787,0.088749713,0.070400451,0.678539049
0.162294415,0.088776729,0.070314869,0.678613987
0.162278169,0.088803759,0.0702297,0.678688371
0.16226205,0.088830802,0.070144949,0.678762198
0.162246058,0.088857862,0.070060617,0.678835464
0.162230191,0.088884939,0.069976707,0.678908163
0.16221445,0.088912035,0.069893222,0.678980293
0.162198834,0.088939153,0.069810165,0.679051848
0.162183343,0.088966295,0.069727537,0.679122826
0.162167974,0.088993462,0.069645342,0.679193222
0.162152728,0.089020657,0.069563583,0.679263032
0.162137603,0.089047881,0.069482263,0.679332253
0.162122597,0.089075135,0.069401386,0.679400881
0.162107711,0.089102421,0.069320956,0.679468912
0.162092943,0.089129739,0.069240974,0.679536343
0.162078293,0.089157091,0.069161445,0.679603171
0.162063759,0.089184478,0.069082369,0.679669394
0.162049341,0.089211899,0.069003751,0.67973501
