processed_ch1,processed_ch2,processed_ch3,processed_ch4
0.090085175,0.078111257,0.116147732,0.049910505
0.090075081,0.078064136,0.116196395,0.049920733
0.090065041,0.078017261,0.11624501,0.049931129
0.090055054,0.077970633,0.11629357,0.049941694
0.090045118,0.077924253,0.11634207,0.049952424
0.090035229,0.077878121,0.116390502,0.049963318
0.090025387,0.077832239,0.11643886,0.049974375
0.090015589,0.077786605,0.116487138,0.049985592
0.090005833,0.077741222,0.116535329,0.049996968
0.089996117,0.077696088,0.116583425,0.050008501
0.089986438,0.077651205,0.11663142,0.05002019
0.089976796,0.077606572,0.116679308,0.050032033
0.089967188,0.077562189,0.11672708,0.050044029
0.089957612,0.077518056,0.116774731,0.050056176
0.089948069,0.077474173,0.116822253,0.050068473
0.089938555,0.07743054,0.116869639,0.05008092
0.08992907,0.077387157,0.116916883,0.050093514
0.089919611,0.077344021,0.116963978,0.050106255
0.089910178,0.077301135,0.117010916,0.050119143
0.089900769,0.077258496,0.11705769,0.050132175
0.089891383,0.077216106,0.117104294,0.050145351
0.089882016,0.077173962,0.11715072,0.050158669
0.089872669,0.077132066,0.117196962,0.050172128
0.08986334,0.077090416,0.117243012,0.050185726
0.089854027,0.077049012,0.117288866,0.050199461
0.089844729,0.077007853,0.117334515,0.050213332
0.089835443,0.07696694,0.117379953,0.050227336
0.089826169,0.076926271,0.117425172,0.050241472
0.089816905,0.076885846,0.117470167,0.050255737
0.089807648,0.076845666,0.11751493,0.050270129
0.089798397,0.07680573,0.117559454,0.050284646
0.08978915,0.076766037,0.117603734,0.050299285
0.089779906,0.076726588,0.117647762,0.050314044
0.089770663,0.076687382,0.117691532,0.050328921
0.089761418,0.076648418,0.117735037,0.050343914
0.089752171,0.076609697,0.117778272,0.050359021
0.089742919,0.076571218,0.117821231,0.050374242
0.08973366,0.076532981,0.117863906,0.050389573
0.089724394,0.076494987,0.117906294,0.050405015
0.089715117,0.076457238,0.117948388,0.050420566
0.089705827,0.076419733,0.117990183,0.050436224
0.089696524,0.076382475,0.118031673,0.050451989
0.089687204,0.076345464,0.118072853,0.050467857
0.089677865,0.0763087,0.118113717,0.050483828
0.089668506,0.076272186,0.118154261,0.0504999
0.089659123,0.076235919,0.118194478,0.050516072
0.089649716,0.076199903,0.118234365,0.050532341
0.08964028,0.076164135,0.118273914,0.050548705
0.089630815,0.076128617,0.118313123,0.050565164
0.089621319,0.076093348,0.118351985,0.050581714
0.089611788,0.076058329,0.118390495,0.050598354
0.089602221,0.07602356,0.11842865,0.050615081
0.089592616,0.07598904,0.118466445,0.050631892
0.08958297,0.07595477,0.118503874,0.050648784
0.089573282,0.07592075,0.118540933,0.050665755
0.089563549,0.075886979,0.118577617,0.050682803
0.089553769,0.075853458,0.118613922,0.050699925
0.08954394,0.075820187,0.118649844,0.050717119
0.089534059,0.075787165,0.118685379,0.050734384
0.089524125,0.075754393,0.118720522,0.050751717
0.089514134,0.075721871,0.11875527,0.050769117
0.089504087,0.075689598,0.118789619,0.050786581
0.089493979,0.075657574,0.118823565,0.050804107
0.089483809,0.075625798,0.118857104,0.050821693
0.089473575,0.07559427,0.118890232,0.050839335
0.089463274,0.075562989,0.118922946,0.050857033
0.089452904,0.075531954,0.11895524,0.050874782
0.089442462,0.075501165,0.118987112,0.050892581
0.089431947,0.075470621,0.119018556,0.050910426
0.089421356,0.075440321,0.119049569,0.050928315
0.089410687,0.075410264,0.119080147,0.050946246
0.089399937,0.075380451,0.119110287,0.050964216
0.089389103,0.075350882,0.119139983,0.050982223
0.089378183,0.075321555,0.119169232,0.051000265
0.089367175,0.075292471,0.119198031,0.051018338
0.089356075,0.075263629,0.119226374,0.051036441
0.089344881,0.07523503,0.119254259,0.051054573
0.08933359,0.075206672,0.119281682,0.051072731
0.089322199,0.075178556,0.119308639,0.051090915
0.089310705,0.075150682,0.119335125,0.051109122
0.089299105,0.075123047,0.119361137,0.051127352
0.089287397,0.075095653,0.119386671,0.051145604
0.089275576,0.075068497,0.119411722,0.051163876
0.089263641,0.07504158,0.119436287,0.051182168
0.089251591,0.0750149,0.119460363,0.051200479
0.089239423,0.074988455,0.119483945,0.051218808
0.089227135,0.074962244,0.119507033,0.051237153
0.089214728,0.074936267,0.119529622,0.051255514
0.089202201,0.07491052,0.119551709,0.05127389
0.089189552,0.074885003,0.119573294,0.05129228
0.089176784,0.074859714,0.119594372,0.051310683
0.089163897,0.07483465,0.119614943,0.0513291
0.08915089,0.07480981,0.119635005,0.05134753
0.089137767,0.074785191,0.119654556,0.051365974
0.089124526,0.074760791,0.119673596,0.051384431
0.08911117,0.074736609,0.119692123,0.051402901
0.0890977,0.074712641,0.119710137,0.051421385
0.089084117,0.074688886,0.119727637,0.051439882
0.089070421,0.074665341,0.119744622,0.051458391
0.089056615,0.074642005,0.119761092,0.051476913
0.0890427,0.074618876,0.119777048,0.051495445
0.089028677,0.074595952,0.119792489,0.051513988
0.089014548,0.07457323,0.119807416,0.051532539
