processed_ch1,processed_ch2,processed_ch3,processed_ch4
0.041683512,0.00632453,0.233440938,0.024928992
0.041638861,0.006328228,0.233388986,0.024961386
0.041594361,0.00633192,0.233337428,0.02499393
0.041550014,0.006335607,0.233286265,0.025026626
0.041505825,0.00633929,0.233235497,0.025059472
0.041461794,0.006342968,0.233185125,0.025092467
0.041417927,0.006346643,0.233135149,0.025125611
0.041374225,0.006350315,0.233085568,0.025158902
0.041330691,0.006353983,0.233036383,0.025192339
0.041287328,0.006357648,0.232987594,0.025225922
0.041244138,0.00636131,0.2329392,0.025259648
0.041201125,0.006364969,0.232891203,0.025293518
0.04115829,0.006368626,0.232843601,0.02532753
0.041115637,0.006372279,0.232796397,0.025361682
0.041073166,0.00637593,0.23274959,0.025395974
0.041030881,0.006379578,0.232703182,0.025430404
0.040988785,0.006383224,0.232657174,0.025464971
0.040946878,0.006386867,0.232611566,0.025499674
0.040905163,0.006390508,0.232566358,0.02553451
0.040863642,0.006394146,0.23252155,0.025569477
0.040822318,0.006397782,0.23247714,0.025604575
0.040781193,0.006401415,0.232433129,0.025639799
0.040740268,0.006405045,0.232389515,0.02567515
0.040699546,0.006408672,0.232346299,0.025710625
0.04065903,0.006412296,0.232303479,0.025746223
0.04061872,0.006415916,0.232261056,0.025781944
0.04057862,0.006419533,0.23221903,0.025817789
0.040538733,0.006423146,0.232177404,0.025853755
0.04049906,0.006426756,0.232136178,0.025889844
0.040459605,0.006430361,0.232095355,0.025926055
0.04042037,0.006433962,0.232054938,0.025962388
0.040381359,0.00643756,0.232014928,0.025998842
0.040342572,0.006441154,0.231975327,0.026035417
0.040304014,0.006444743,0.231936136,0.026072113
0.040265687,0.006448329,0.231897356,0.026108928
0.040227592,0.00645191,0.23185899,0.026145862
0.040189733,0.006455488,0.231821037,0.026182915
0.040152112,0.006459061,0.231783501,0.026220085
0.040114731,0.006462629,0.231746381,0.026257372
0.040077593,0.006466193,0.231709679,0.026294774
0.040040699,0.006469753,0.231673395,0.026332291
0.040004053,0.006473307,0.231637529,0.026369921
0.039967656,0.006476857,0.231602082,0.026407664
0.039931511,0.006480403,0.231567052,0.02644552
0.039895618,0.006483943,0.231532439,0.026483488
0.039859981,0.006487479,0.231498242,0.026521566
0.039824602,0.006491009,0.231464459,0.026559754
0.039789483,0.006494534,0.23143109,0.02659805
