processed_ch1,processed_ch2,processed_ch3,processed_ch4
0.060198298,0.283863465,0.002321304,0.1063143
0.060178844,0.283815298,0.00231265,0.106381619
0.060159497,0.283766775,0.002304057,0.106448934
0.060140257,0.283717895,0.002295524,0.10651624
0.060121124,0.283668656,0.002287052,0.106583527
0.060102101,0.283619058,0.002278642,0.10665079
0.060083187,0.283569099,0.002270292,0.106718019
0.060064383,0.283518778,0.002262005,0.106785208
0.060045691,0.283468096,0.002253779,0.10685235
0.060027109,0.28341705,0.002245615,0.106919435
0.06000864,0.283365641,0.002237513,0.106986458
0.059990283,0.283313868,0.002229473,0.107053412
0.059972038,0.283261731,0.002221496,0.107120291
0.059953906,0.28320923,0.002213582,0.107187088
0.059935888,0.283156365,0.00220573,0.107253799
0.059917984,0.283103138,0.002197942,0.107320417
0.059900195,0.283049551,0.002190217,0.107386937
0.059882523,0.282995606,0.002182556,0.107453353
0.059864967,0.282941304,0.002174958,0.107519659
0.059847528,0.282886647,0.002167425,0.107585847
0.059830209,0.282831637,0.002159956,0.107651913
0.059813009,0.282776275,0.002152551,0.107717851
0.059795931,0.282720563,0.002145212,0.107783654
0.059778973,0.282664501,0.002137937,0.107849318
0.059762139,0.282608089,0.002130728,0.107914837
0.059745428,0.282551329,0.002123584,0.107980207
0.059728841,0.28249422,0.002116506,0.108045421
0.059712379,0.282436761,0.002109494,0.108110474
0.059696042,0.282378952,0.002102549,0.108175362
0.05967983,0.282320792,0.002095671,0.108240078
0.059663744,0.282262279,0.002088859,0.108304618
0.059647784,0.282203411,0.002082115,0.108368978
0.059631951,0.282144187,0.002075438,0.108433154
0.059616244,0.282084606,0.00206883,0.108497143
0.059600663,0.282024665,0.002062289,0.10856094
0.05958521,0.281964362,0.002055816,0.108624543
0.059569883,0.281903696,0.002049412,0.108687949
0.059554684,0.281842667,0.002043076,0.108751158
0.059539613,0.281781272,0.002036808,0.108814167
0.05952467,0.281719513,0.002030609,0.108876977
0.059509854,0.281657387,0.002024479,0.108939587
0.059495166,0.281594896,0.002018416,0.109001997
0.059480605,0.281532039,0.002012423,0.109064206
0.059466171,0.281468815,0.002006497,0.109126213
0.059451865,0.281405225,0.00200064,0.109188017
0.059437684,0.281341267,0.001994851,0.109249617
0.05942363,0.281276942,0.001989131,0.109311012
0.0594097,0.28121225,0.00198348,0.109372201
0.059395896,0.28114719,0.001977898,0.109433181
0.059382215,0.281081764,0.001972385,0.109493953
0.059368657,0.281015972,0.001966942,0.109554514
0.059355222,0.280949815,0.001961568,0.109614862
0.059341908,0.280883293,0.001956263,0.109674997
0.059328715,0.280816409,0.001951029,0.109734915
0.059315641,0.280749161,0.001945863,0.109794616
0.059302685,0.28068155,0.001940767,0.109854098
0.059289846,0.280613576,0.00193574,0.109913358
0.059277123,0.280545239,0.001930783,0.109972394
0.059264515,0.280476538,0.001925894,0.110031203
0.059252019,0.280407471,0.001921075,0.110089783
0.059239635,0.28033804,0.001916324,0.11014813
0.059227363,0.280268241,0.001911642,0.11020624
0.059215199,0.280198074,0.001907028,0.110264112
0.059203144,0.280127538,0.001902483,0.11032174
0.059191196,0.28005663,0.001898005,0.11037912
0.059179352,0.27998535,0.001893595,0.110436249
0.059167613,0.279913696,0.001889252,0.110493123
0.059155975,0.279841665,0.001884977,0.110549737
0.059144437,0.279769258,0.00188077,0.110606088
0.059132998,0.279696471,0.00187663,0.110662171
0.059121656,0.279623303,0.001872556,0.110717982
0.05911041,0.279549752,0.00186855,0.110773517
0.059099256,0.279475814,0.001864611,0.110828771
0.059088194,0.279401488,0.001860738,0.110883741
0.059077222,0.279326771,0.001856932,0.110938422
0.059066337,0.279251659,0.001853192,0.110992813
0.059055538,0.279176149,0.001849517,0.111046909
