processed_ch1,processed_ch2,processed_ch3,processed_ch4
0.01300457,0.005523952,0.145078315,0.005400232
0.012981565,0.005530883,0.145020325,0.005404576
0.012958588,0.005537887,0.144962416,0.005408967
0.012935642,0.005544964,0.144904585,0.005413407
0.012912726,0.005552114,0.144846832,0.005417895
0.012889842,0.005559336,0.144789154,0.005422431
0.012866991,0.005566629,0.144731549,0.005427015
0.012844173,0.005573992,0.144674018,0.005431647
0.012821389,0.005581424,0.144616558,0.005436328
0.012798641,0.005588924,0.14455917,0.005441056
0.012775929,0.005596492,0.144501852,0.005445832
0.012753253,0.005604126,0.144444605,0.005450656
0.012730616,0.005611825,0.144387429,0.005455528
0.012708017,0.005619589,0.144330321,0.005460447
0.012685459,0.005627416,0.144273283,0.005465414
0.012662941,0.005635305,0.144216314,0.005470429
0.012640465,0.005643255,0.144159413,0.005475492
0.012618033,0.005651267,0.144102581,0.005480602
0.012595644,0.005659339,0.144045816,0.00548576
0.0125733,0.005667471,0.143989119,0.005490964
0.012551003,0.005675663,0.14393249,0.005496216
0.012528752,0.005683913,0.143875928,0.005501513
0.012506549,0.005692222,0.143819435,0.005506856
0.012484395,0.005700588,0.14376301,0.005512245
0.012462291,0.00570901,0.143706654,0.005517678
0.012440238,0.005717488,0.143650365,0.005523156
0.012418235,0.005726021,0.143594145,0.005528679
0.012396285,0.005734606,0.143537991,0.005534246
0.012374388,0.005743244,0.143481905,0.005539858
0.012352545,0.005751933,0.143425885,0.005545512
0.012330756,0.005760673,0.143369931,0.00555121
0.012309023,0.00576946,0.143314043,0.00555695
0.012287345,0.005778296,0.143258221,0.005562731
0.012265724,0.00578718,0.143202465,0.005568553
0.01224416,0.005796109,0.143146775,0.005574416
0.012222654,0.005805084,0.143091151,0.005580319
0.012201205,0.005814104,0.143035593,0.005586261
0.012179815,0.005823168,0.142980101,0.005592241
0.012158485,0.005832274,0.142924674,0.005598258
0.012137214,0.005841422,0.142869312,0.005604313
0.012116003,0.005850611,0.142814014,0.005610403
0.012094854,0.00585984,0.14275878,0.005616527
0.012073768,0.005869107,0.142703609,0.005622685
0.012052745,0.005878413,0.142648502,0.005628875
0.012031785,0.005887755,0.142593458,0.005635096
0.012010891,0.005897134,0.142538476,0.005641347
0.011990062,0.005906547,0.142483557,0.005647627
0.0119693,0.005915993,0.1424287,0.005653934
0.011948605,0.005925472,0.142373904,0.005660269
0.011927978,0.005934983,0.142319169,0.005666629
0.01190742,0.005944524,0.142264494,0.005673015
0.011886932,0.005954095,0.142209877,0.005679426
0.011866516,0.005963694,0.142155319,0.00568586
0.011846171,0.00597332,0.142100817,0.005692317
0.0118259,0.005982973,0.142046372,0.005698796
0.011805703,0.00599265,0.141991983,0.005705296
0.011785582,0.006002351,0.14193765,0.005711817
0.011765538,0.006012076,0.141883372,0.005718357
0.011745573,0.006021823,0.141829149,0.005724916
0.011725688,0.006031592,0.14177498,0.005731494
0.011705886,0.006041382,0.141720864,0.005738088
0.011686166,0.006051192,0.141666801,0.0057447
0.01166653,0.006061022,0.141612788,0.005751327
0.01164698,0.00607087,0.141558825,0.005757969
0.011627516,0.006080737,0.141504911,0.005764625
0.01160814,0.006090621,0.141451044,0.005771293
0.011588853,0.006100522,0.141397223,0.005777974
0.011569655,0.006110439,0.141343447,0.005784666
0.011550548,0.00612037,0.141289713,0.005791367
0.011531532,0.006130316,0.141236022,0.005798078
0.011512609,0.006140275,0.141182371,0.005804796
0.011493779,0.006150247,0.141128758,0.005811521
0.011475045,0.006160231,0.141075183,0.005818253
0.011456406,0.006170227,0.141021642,0.00582499
0.011437864,0.006180234,0.140968134,0.005831732
0.01141942,0.006190251,0.140914656,0.005838477
0.011401075,0.006200279,0.140861207,0.005845225
0.011382829,0.006210315,0.140807785,0.005851974
0.011364683,0.00622036,0.140754387,0.005858724
0.011346639,0.006230412,0.140701011,0.005865473
0.011328696,0.006240471,0.140647655,0.005872221
0.011310855,0.006250536,0.140594317,0.005878967
0.011293118,0.006260605,0.140540995,0.005885709
0.011275485,0.006270679,0.140487687,0.005892446
0.011257956,0.006280755,0.140434391,0.005899178
0.011240532,0.006290833,0.140381104,0.005905904
0.011223215,0.006300913,0.140327825,0.005912623
0.011206003,0.006310992,0.140274552,0.005919333
0.011188898,0.006321071,0.140221284,0.005926033
0.011171901,0.006331149,0.140168018,0.005932723
0.011155012,0.006341225,0.140114754,0.005939401
0.011138231,0.006351297,0.140061489,0.005946067
0.011121559,0.006361365,0.140008221,0.005952719
0.011104996,0.006371428,0.139954949,0.005959358
0.011088542,0.006381486,0.139901671,0.005965982
0.011072198,0.006391536,0.139848385,0.005972594
0.011055964,0.006401579,0.13979509,0.005979192
0.01103984,0.006411613,0.139741783,0.005985778
0.011023827,0.006421638,0.139688463,0.005992352
0.011007925,0.006431651,0.13963513,0.005998915
0.010992133,0.006441654,0.13958178,0.006005467
0.010976453,0.006451644,0.139528415,0.00601201
0.010960885,0.006461621,0.139475034,0.006018543
0.01094543,0.006471583,0.139421634,0.006025068
0.010930087,0.00648153,0.139368217,0.006031586
0.010914858,0.006491461,0.139314781,0.006038098
0.010899743,0.006501375,0.139261326,0.006044604
0.010884741,0.00651127,0.13920785,0.006051105
0.010869854,0.006521148,0.139154354,0.006057602
0.010855082,0.006531007,0.139100836,0.006064095
0.010840425,0.006540848,0.139047296,0.006070583
0.010825883,0.006550668,0.138993731,0.006077068
0.010811457,0.006560469,0.138940141,0.00608355
0.010797146,0.006570249,0.138886523,0.006090029
0.010782951,0.006580007,0.138832877,0.006096504
0.010768871,0.006589744,0.138779201,0.006102976
0.010754908,0.006599459,0.138725493,0.006109445
0.010741061,0.006609151,0.138671751,0.00611591
0.010727329,0.00661882,0.138617975,0.006122372
0.010713714,0.006628465,0.138564161,0.006128831
0.010700215,0.006638086,0.13851031,0.006135285
0.010686832,0.006647682,0.138456419,0.006141736
0.010673565,0.006657253,0.138402488,0.006148182
0.010660415,0.006666798,0.138348516,0.006154624
0.010647383,0.006676317,0.138294503,0.006161061
0.010634467,0.00668581,0.138240449,0.006167493
0.010621669,0.006695275,0.138186352,0.006173919
0.01060899,0.006704712,0.138132214,0.006180339
0.010596429,0.00671412,0.138078035,0.006186753
0.010583989,0.006723499,0.138023814,0.00619316
0.010571669,0.006732847,0.137969555,0.006199559
0.01055947,0.006742165,0.137915259,0.006205951
0.010547394,0.006751452,0.137860926,0.006212334
0.010535441,0.006760706,0.13780656,0.006218709
0.010523612,0.006769929,0.137752161,0.006225075
0.010511907,0.006779118,0.137697732,0.006231432
0.010500327,0.006788275,0.137643273,0.006237779
0.010488873,0.006797398,0.137588789,0.006244116
0.010477546,0.006806486,0.137534283,0.006250443
0.010466346,0.006815539,0.137479757,0.006256758
0.010455273,0.006824557,0.137425217,0.006263063
0.010444329,0.006833538,0.137370668,0.006269357
0.010433514,0.006842481,0.137316115,0.006275638
0.010422829,0.006851387,0.137261564,0.006281907
0.010412275,0.006860254,0.13720702,0.006288164
0.010401853,0.006869082,0.137152491,0.006294406
0.010391563,0.006877869,0.137097982,0.006300635
0.010381406,0.006886616,0.1370435,0.00630685
0.010371383,0.006895322,0.136989051,0.006313049
0.010361495,0.006903985,0.136934643,0.006319232
0.010351742,0.006912607,0.136880282,0.0063254
0.010342126,0.006921186,0.136825975,0.006331551
0.010332648,0.006929722,0.13677173,0.006337685
0.010323307,0.006938214,0.136717555,0.006343802
0.010314105,0.006946664,0.136663456,0.006349901
0.010305043,0.006955069,0.136609443,0.006355982
0.010296121,0.00696343,0.136555523,0.006362044
0.010287341,0.006971746,0.136501704,0.006368088
0.010278702,0.006980017,0.136447995,0.006374112
0.010270206,0.006988241,0.136394405,0.006380116
0.010261853,0.006996418,0.136340941,0.0063861
0.010253645,0.007004549,0.136287612,0.006392062
0.010245582,0.007012631,0.136234426,0.006398003
0.010237663,0.007020665,0.136181391,0.006403922
0.01022989,0.007028651,0.136128516,0.006409817
0.010222264,0.007036586,0.136075809,0.006415689
0.010214783,0.007044472,0.136023278,0.006421537
0.01020745,0.007052307,0.135970932,0.00642736
0.010200264,0.00706009,0.135918777,0.006433158
0.010193226,0.007067821,0.135866822,0.00643893
0.010186336,0.0070755,0.135815073,0.006444676
0.010179595,0.007083125,0.135763537,0.006450396
0.010173004,0.007090698,0.135712221,0.00645609
0.010166562,0.007098216,0.135661131,0.006461756
0.010160272,0.007105681,0.135610273,0.006467396
0.010154133,0.00711309,0.135559653,0.006473009
0.010148146,0.007120445,0.135509276,0.006478595
0.010142313,0.007127743,0.135459147,0.006484154
0.010136633,0.007134986,0.135409271,0.006489685
0.010131108,0.007142172,0.135359654,0.006495189
0.010125738,0.007149301,0.1353103,0.006500664
0.010120524,0.007156372,0.135261213,0.006506111
0.010115465,0.007163386,0.135212399,0.006511528
0.010110562,0.007170341,0.135163861,0.006516917
0.010105815,0.007177237,0.135115603,0.006522276
0.010101226,0.007184074,0.135067628,0.006527605
0.010096793,0.007190851,0.135019941,0.006532903
0.010092518,0.007197567,0.134972545,0.00653817
