processed_ch1,processed_ch2,processed_ch3,processed_ch4
0.172199355,0.169306163,0.106639831,0.139688812
0.172216949,0.169252949,0.106600773,0.139669176
0.172235605,0.169199889,0.106562455,0.139649667
0.172255323,0.169146979,0.106524878,0.139630291
0.172276102,0.169094218,0.106488043,0.13961105
0.172297943,0.169041603,0.106451953,0.139591947
0.172320846,0.168989131,0.106416608,0.139572984
0.172344809,0.1689368,0.10638201,0.139554162
0.172369833,0.168884608,0.106348159,0.139535486
0.172395916,0.168832552,0.106315058,0.139516956
0.172423058,0.168780631,0.106282705,0.139498575
0.172451259,0.168728841,0.106251103,0.139480346
0.172480516,0.16867718,0.106220253,0.139462271
0.172510831,0.168625647,0.106190155,0.139444354
0.172542203,0.168574237,0.106160811,0.139426598
0.172574633,0.168522949,0.106132221,0.139409005
0.17260812,0.168471779,0.106104388,0.139391577
0.172642665,0.168420724,0.106077315,0.139374319
0.172678268,0.168369781,0.106051006,0.139357231
0.172714928,0.168318947,0.106025463,0.139340316
0.172752647,0.168268218,0.10600069,0.139323576
0.172791425,0.168217589,0.10597669,0.139307013
0.172831262,0.168167058,0.105953467,0.139290628
0.172872158,0.168116619,0.105931024,0.139274422
0.172914113,0.168066269,0.105909366,0.139258395
0.172957128,0.168016003,0.105888494,0.139242548
0.173001201,0.167965817,0.105868414,0.139226881
0.173046332,0.167915707,0.105849129,0.139211394
0.17309252,0.167865671,0.105830642,0.139196087
0.173139762,0.167815704,0.105812955,0.139180959
0.173188058,0.167765805,0.105796072,0.139166009
0.173237405,0.167715972,0.105779995,0.139151239
0.173287801,0.167666201,0.105764727,0.139136647
0.173339243,0.167616492,0.10575027,0.139122234
0.17339173,0.167566843,0.105736626,0.139108
0.17344526,0.167517252,0.105723798,0.139093943
0.173499832,0.167467717,0.105711789,0.139080065
0.173555444,0.167418236,0.105700602,0.139066365
0.173612095,0.167368807,0.105690239,0.139052842
0.173669783,0.16731943,0.105680704,0.139039497
0.173728508,0.167270101,0.105672,0.139026331
0.17378827,0.167220819,0.105664128,0.139013343
0.173849065,0.167171582,0.105657091,0.139000533
0.173910894,0.167122388,0.105650891,0.138987901
0.173973754,0.167073234,0.105645529,0.138975446
0.174037643,0.167024119,0.105641008,0.138963168
0.174102559,0.166975039,0.105637327,0.138951067
0.174168502,0.166925992,0.10563449,0.138939142
0.174235471,0.166876975,0.105632497,0.138927392
0.174303464,0.166827985,0.105631352,0.138915816
0.174372481,0.166779019,0.105631056,0.138904415
0.174442521,0.166730074,0.105631614,0.138893186
0.174513585,0.166681145,0.105633028,0.13888213
0.174585671,0.16663223,0.105635303,0.138871245
0.174658782,0.166583325,0.105638444,0.138860533
0.174732915,0.166534426,0.105642457,0.138849993
0.174808071,0.16648553,0.105647347,0.138839625
0.17488425,0.166436635,0.105653119,0.138829432
0.174961452,0.166387738,0.105659779,0.138819413
0.175039677,0.166338836,0.105667333,0.138809569
0.175118924,0.166289927,0.105675785,0.1387999
0.175199193,0.166241009,0.105685141,0.138790408
0.175280483,0.166192081,0.105695405,0.138781091
0.175362793,0.16614314,0.105706583,0.138771951
0.175446121,0.166094187,0.10571868,0.138762988
0.175530466,0.16604522,0.105731699,0.138754203
0.175615825,0.165996239,0.105745646,0.138745598
0.175702197,0.165947243,0.105760526,0.138737173
0.175789578,0.165898233,0.105776343,0.138728931
0.175877965,0.165849207,0.1057931,0.138720871
0.175967354,0.165800167,0.105810803,0.138712994
0.176057742,0.16575111,0.105829455,0.138705303
0.176149125,0.165702039,0.105849059,0.138697797
0.176241498,0.165652954,0.105869618,0.138690477
0.17633486,0.165603858,0.105891136,0.138683344
0.176429206,0.165554753,0.105913615,0.138676399
0.176524534,0.165505642,0.105937058,0.138669643
0.176620843,0.165456528,0.105961467,0.138663078
0.176718129,0.165407413,0.105986845,0.138656704
0.176816393,0.1653583,0.106013195,0.138650522
0.176915632,0.165309192,0.106040517,0.138644533
0.177015844,0.165260092,0.106068815,0.138638738
0.177117027,0.165211003,0.106098089,0.138633137
0.177219181,0.165161928,0.106128341,0.138627729
0.177322302,0.165112871,0.106159573,0.138622514
0.177426388,0.165063834,0.106191785,0.138617492
0.177531437,0.165014822,0.106224977,0.13861266
0.177637448,0.164965836,0.106259151,0.138608019
0.177744418,0.164916879,0.106294306,0.138603569
0.177852345,0.164867954,0.106330443,0.138599311
0.177961227,0.164819063,0.106367561,0.138595246
0.17807106,0.164770209,0.106405661,0.138591376
0.178181843,0.164721395,0.10644474,0.138587699
0.178293573,0.164672623,0.106484799,0.138584219
0.178406246,0.164623898,0.106525836,0.138580934
0.178519859,0.164575222,0.106567852,0.138577846
0.17863441,0.164526599,0.106610845,0.138574956
0.178749896,0.164478033,0.106654815,0.138572264
0.178866313,0.164429529,0.106699762,0.13856977
0.17898366,0.16438109,0.106745684,0.138567475
0.179101932,0.164332721,0.106792582,0.138565379
0.179221127,0.164284426,0.106840456,0.138563483
0.179341241,0.164236209,0.106889305,0.138561787
0.179462271,0.164188073,0.106939127,0.138560291
0.179584212,0.164140022,0.106989923,0.138558996
0.17970706,0.16409206,0.107041691,0.138557903
0.179830812,0.164044189,0.107094431,0.138557012
0.179955463,0.163996412,0.107148142,0.138556325
0.180081011,0.163948731,0.107202822,0.138555841
0.180207452,0.163901151,0.107258471,0.13855556
0.180334783,0.163853672,0.107315087,0.138555483
0.180463001,0.163806299,0.10737267,0.138555608
0.180592104,0.163759034,0.107431217,0.138555936
0.180722088,0.163711882,0.107490729,0.138556466
0.180852949,0.163664844,0.107551203,0.138557197
0.180984684,0.163617925,0.107612639,0.138558127
0.181117289,0.163571126,0.107675033,0.138559256
0.181250761,0.163524451,0.107738386,0.138560583
0.181385093,0.163477902,0.107802694,0.138562105
0.181520282,0.16343148,0.107867955,0.138563822
0.181656322,0.163385188,0.107934168,0.138565732
0.181793208,0.163339026,0.108001328,0.138567832
0.181930934,0.163292997,0.108069432,0.138570123
0.182069494,0.163247102,0.108138479,0.138572601
0.182208884,0.163201341,0.108208463,0.138575266
0.182349095,0.163155715,0.108279383,0.138578114
0.182490123,0.163110226,0.108351234,0.138581143
0.182631959,0.163064873,0.108424012,0.138584351
0.182774598,0.163019658,0.108497715,0.138587735
0.182918033,0.16297458,0.108572337,0.138591292
0.183062257,0.162929639,0.108647876,0.138595018
0.183207264,0.162884835,0.108724326,0.13859891
0.183353048,0.162840167,0.108801685,0.138602965
0.183499602,0.162795633,0.108879947,0.13860718
0.183646921,0.162751234,0.10895911,0.138611551
0.183795001,0.162706966,0.109039168,0.138616077
0.183943838,0.16266283,0.109120119,0.138620756
0.184093427,0.162618822,0.109201958,0.138625585
0.184243765,0.16257494,0.109284682,0.138630561
0.18439485,0.162531184,0.109368286,0.138635683
0.184546678,0.162487549,0.109452767,0.138640947
0.18469925,0.162444035,0.109538121,0.138646349
