processed_ch1,processed_ch2,processed_ch3,processed_ch4
-0.006906102,-0.001069724,-0.000733887,-0.002075137
-0.006901516,-0.001070773,-0.000735046,-0.002074691
-0.006896936,-0.001071823,-0.000736193,-0.002074267
-0.006892362,-0.001072874,-0.000737328,-0.002073866
-0.006887794,-0.001073923,-0.000738451,-0.002073485
-0.006883232,-0.001074973,-0.000739563,-0.002073127
-0.006878677,-0.001076023,-0.000740662,-0.002072789
-0.006874129,-0.001077072,-0.000741749,-0.002072473
-0.006869587,-0.00107812,-0.000742824,-0.002072178
-0.006865053,-0.001079168,-0.000743888,-0.002071904
-0.006860526,-0.001080216,-0.000744939,-0.002071652
-0.006856007,-0.001081262,-0.000745977,-0.00207142
-0.006851496,-0.001082308,-0.000747004,-0.00207121
-0.006846993,-0.001083354,-0.000748018,-0.002071021
-0.006842498,-0.001084398,-0.000749019,-0.002070854
-0.006838011,-0.001085442,-0.000750008,-0.002070708
-0.006833534,-0.001086486,-0.000750985,-0.002070583
-0.006829065,-0.001087529,-0.000751949,-0.00207048
-0.006824606,-0.001088571,-0.0007529,-0.002070399
-0.006820156,-0.001089612,-0.000753839,-0.002070339
-0.006815716,-0.001090653,-0.000754765,-0.002070301
-0.006811286,-0.001091692,-0.000755679,-0.002070285
-0.006806866,-0.001092731,-0.00075658,-0.002070291
-0.006802456,-0.001093768,-0.00075747,-0.002070318
-0.006798056,-0.001094804,-0.000758347,-0.002070367
-0.006793668,-0.001095838,-0.000759212,-0.002070438
-0.00678929,-0.001096871,-0.000760065,-0.002070531
-0.006784924,-0.001097902,-0.000760907,-0.002070645
-0.006780569,-0.001098932,-0.000761736,-0.002070781
-0.006776226,-0.00109996,-0.000762554,-0.002070939
-0.006771895,-0.001100987,-0.00076336,-0.002071118
-0.006767576,-0.001102012,-0.000764154,-0.002071318
-0.00676327,-0.001103035,-0.000764937,-0.002071538
-0.006758976,-0.001104057,-0.000765708,-0.00207178
-0.006754695,-0.001105078,-0.000766467,-0.002072043
-0.006750428,-0.001106097,-0.000767215,-0.002072326
-0.006746173,-0.001107115,-0.000767951,-0.00207263
-0.006741932,-0.001108131,-0.000768675,-0.002072954
-0.006737705,-0.001109147,-0.000769388,-0.002073298
-0.006733492,-0.001110162,-0.000770089,-0.002073663
-0.006729294,-0.001111176,-0.000770779,-0.002074047
-0.00672511,-0.00111219,-0.000771458,-0.002074451
-0.006720941,-0.001113203,-0.000772124,-0.002074874
-0.006716787,-0.001114216,-0.00077278,-0.002075318
-0.006712649,-0.001115229,-0.000773423,-0.002075781
-0.006708526,-0.001116242,-0.000774055,-0.002076264
-0.006704419,-0.001117254,-0.000774676,-0.002076767
-0.006700328,-0.001118266,-0.000775285,-0.00207729
-0.006696254,-0.001119277,-0.000775882,-0.002077834
-0.006692196,-0.001120288,-0.000776467,-0.002078398
-0.006688155,-0.001121298,-0.000777041,-0.002078983
-0.006684132,-0.001122307,-0.000777603,-0.002079588
-0.006680125,-0.001123316,-0.000778154,-0.002080215
-0.006676135,-0.001124324,-0.000778692,-0.002080862
-0.006672164,-0.001125331,-0.000779219,-0.002081529
-0.00666821,-0.001126336,-0.000779734,-0.002082218
-0.006664274,-0.001127341,-0.000780238,-0.002082927
-0.006660356,-0.001128345,-0.000780729,-0.002083656
-0.006656456,-0.001129348,-0.000781208,-0.002084406
-0.006652575,-0.00113035,-0.000781676,-0.002085176
-0.006648713,-0.001131351,-0.000782132,-0.002085967
-0.006644869,-0.001132351,-0.000782575,-0.002086777
-0.006641045,-0.001133349,-0.000783007,-0.002087608
-0.00663724,-0.001134347,-0.000783427,-0.00208846
-0.006633453,-0.001135343,-0.000783834,-0.002089331
-0.006629686,-0.001136338,-0.00078423,-0.002090222
