processed_ch1,processed_ch2,processed_ch3,processed_ch4
0.083935722,0.145706252,0.016022256,0.088096158
0.083889996,0.14562245,0.016016025,0.088040265
0.083844283,0.14553906,0.016009819,0.087984654
0.083798581,0.145456087,0.016003639,0.087929323
0.083752891,0.145373538,0.015997484,0.087874271
0.083707213,0.145291416,0.015991353,0.087819497
0.083661548,0.145209728,0.015985246,0.087765002
0.083615896,0.145128479,0.015979163,0.087710785
0.083570257,0.145047672,0.015973103,0.087656846
0.083524632,0.144967313,0.015967065,0.087603185
0.083479022,0.144887406,0.01596105,0.087549803
0.083433425,0.144807955,0.015955056,0.087496698
0.083387843,0.144728963,0.015949084,0.087443871
0.083342276,0.144650436,0.015943133,0.087391319
0.083296725,0.144572377,0.015937202,0.087339044
0.083251188,0.144494791,0.015931292,0.087287044
0.083205666,0.144417681,0.015925402,0.08723532
0.08316016,0.144341052,0.015919531,0.087183869
0.083114668,0.144264909,0.01591368,0.087132692
0.083069191,0.144189256,0.015907848,0.087081789
0.083023728,0.144114096,0.015902034,0.087031158
0.08297828,0.144039434,0.015896239,0.086980799
0.082932845,0.143965272,0.015890462,0.086930711
0.082887424,0.143891614,0.015884703,0.086880893
0.082842017,0.143818463,0.015878961,0.086831345
0.082796623,0.143745821,0.015873237,0.086782064
0.082751242,0.143673692,0.01586753,0.08673305
0.082705874,0.143602078,0.01586184,0.086684301
0.082660519,0.143530983,0.015856166,0.086635816
0.082615176,0.143460409,0.015850509,0.086587592
0.082569845,0.143390359,0.015844868,0.08653963
0.082524526,0.143320837,0.015839244,0.086491928
0.082479218,0.143251845,0.015833635,0.086444485
0.082433921,0.143183384,0.015828042,0.0863973
0.082388633,0.143115457,0.015822464,0.086350374
0.082343353,0.143048065,0.015816902,0.086303706
0.082298082,0.142981211,0.015811354,0.086257297
0.082252817,0.142914897,0.015805822,0.086211146
0.082207558,0.142849123,0.015800305,0.086165255
0.082162303,0.142783892,0.015794802,0.086119623
0.082117052,0.142719204,0.015789313,0.086074251
0.082071802,0.142655061,0.015783839,0.086029139
0.082026553,0.142591463,0.015778378,0.085984287
0.081981304,0.142528414,0.015772931,0.085939694
0.081936053,0.142465914,0.015767497,0.085895362
0.081890799,0.142403964,0.015762075,0.085851291
0.081845541,0.142342566,0.015756666,0.08580748
0.081800278,0.142281722,0.015751269,0.08576393
0.08175501,0.14222143,0.015745883,0.085720642
0.081709736,0.142161693,0.015740509,0.085677614
