processed_ch1,processed_ch2,processed_ch3,processed_ch4
0.096596822,0.175460238,0.043268796,0.061791383
0.096585201,0.175519898,0.043274542,0.061743261
0.096573264,0.175579406,0.043280188,0.061695055
0.096561013,0.17563876,0.043285736,0.061646767
0.096548451,0.17569796,0.043291185,0.061598399
0.09653558,0.175757005,0.043296535,0.061549955
0.096522404,0.175815893,0.043301787,0.061501437
0.096508926,0.175874624,0.043306941,0.061452846
0.09649515,0.175933195,0.043311997,0.061404187
0.096481079,0.175991607,0.043316955,0.061355462
0.096466718,0.176049858,0.043321817,0.061306673
0.09645207,0.176107947,0.043326583,0.061257824
0.096437141,0.176165871,0.043331254,0.061208918
0.096421934,0.17622363,0.043335829,0.061159956
0.096406452,0.176281222,0.043340309,0.061110943
0.096390701,0.176338646,0.043344695,0.06106188
0.096374684,0.176395901,0.043348986,0.061012768
0.096358404,0.176452988,0.043353183,0.060963612
0.096341866,0.176509904,0.043357287,0.060914411
0.096325072,0.176566648,0.043361297,0.060865169
0.096308027,0.176623219,0.043365214,0.060815886
0.096290733,0.176679615,0.043369038,0.060766565
0.096273194,0.176735834,0.043372769,0.060717209
0.096255411,0.176791874,0.043376408,0.060667819
0.096237389,0.176847733,0.043379955,0.060618398
0.09621913,0.17690341,0.043383411,0.060568949
0.096200635,0.1769589,0.043386774,0.060519473
0.096181908,0.177014201,0.043390045,0.060469973
0.096162951,0.177069311,0.043393225,0.060420451
0.096143765,0.177124226,0.043396313,0.060370908
0.096124354,0.177178942,0.043399309,0.060321347
0.096104718,0.177233456,0.043402214,0.06027177
0.09608486,0.177287765,0.043405026,0.060222177
0.096064782,0.177341866,0.043407747,0.060172572
0.096044487,0.177395757,0.043410377,0.060122955
0.096023974,0.177449434,0.043412914,0.060073328
0.096003248,0.177502896,0.04341536,0.060023693
0.095982308,0.177556137,0.043417715,0.059974052
0.095961156,0.177609157,0.043419977,0.059924406
0.095939794,0.17766195,0.043422147,0.059874756
0.095918223,0.177714514,0.043424226,0.059825105
0.095896443,0.177766845,0.043426211,0.059775454
0.095874457,0.177818939,0.043428103,0.059725806
0.095852264,0.177870791,0.043429902,0.059676163
0.095829866,0.177922399,0.043431607,0.059626528
0.095807263,0.177973756,0.043433218,0.059576902
0.095784455,0.178024859,0.043434734,0.059527288
0.095761444,0.178075703,0.043436154,0.059477688
0.095738229,0.178126282,0.043437479,0.059428102
0.09571481,0.178176592,0.043438707,0.059378533
0.095691189,0.178226628,0.043439838,0.059328982
0.095667365,0.178276384,0.043440871,0.059279449
0.095643338,0.178325855,0.043441805,0.059229937
0.095619108,0.178375035,0.04344264,0.059180446
0.095594675,0.178423918,0.043443375,0.059130977
0.095570039,0.178472499,0.04344401,0.059081532
0.095545199,0.178520772,0.043444543,0.059032111
0.095520156,0.178568732,0.043444974,0.058982718
0.095494908,0.178616371,0.043445302,0.058933353
0.095469456,0.178663684,0.043445528,0.058884018
0.095443798,0.178710665,0.04344565,0.058834715
0.095417934,0.178757307,0.043445667,0.058785446
0.095391864,0.178803604,0.04344558,0.058736212
0.095365587,0.178849551,0.043445387,0.058687014
0.095339101,0.17889514,0.043445088,0.058637856
0.095312407,0.178940364,0.043444683,0.058588736
0.095285503,0.178985219,0.043444171,0.058539658
0.095258388,0.179029695,0.043443551,0.058490624
0.095231062,0.179073788,0.043442824,0.058441635
0.095203525,0.179117491,0.043441988,0.058392695
0.095175775,0.179160798,0.043441045,0.058343808
0.095147812,0.179203701,0.043439992,0.058294977
0.095119638,0.179246195,0.043438831,0.058246206
0.095091251,0.179288273,0.043437561,0.058197498
0.095062653,0.179329929,0.043436182,0.058148856
0.095033842,0.179371157,0.043434696,0.058100284
0.095004818,0.179411951,0.043433102,0.058051785
0.094975583,0.179452305,0.043431402,0.058003361
0.094946135,0.179492212,0.043429598,0.057955017
0.094916474,0.179531667,0.04342769,0.057906755
0.094886602,0.179570664,0.043425681,0.057858578
0.094856516,0.179609196,0.043423574,0.057810489
0.094826219,0.179647259,0.043421369,0.05776249
0.094795709,0.179684847,0.043419069,0.057714584
0.094764986,0.179721957,0.043416676,0.057666773
0.094734051,0.179758584,0.043414193,0.057619059
0.094702902,0.179794724,0.04341162,0.057571445
0.09467154,0.179830374,0.043408961,0.057523932
0.094639964,0.17986553,0.043406217,0.057476522
0.094608175,0.17990019,0.043403391,0.057429217
0.09457617,0.179934351,0.043400483,0.057382018
0.09454395,0.179968011,0.043397496,0.057334927
0.094511514,0.180001169,0.043394432,0.057287947
0.094478862,0.180033821,0.043391292,0.057241077
0.094445991,0.180065966,0.043388078,0.057194321
0.094412903,0.180097602,0.043384792,0.057147678
0.094379595,0.180128726,0.043381434,0.057101149
0.094346067,0.180159336,0.043378008,0.057054736
0.094312317,0.18018943,0.043374514,0.05700844
0.094278344,0.180219006,0.043370954,0.056962261
0.094244147,0.180248062,0.04336733,0.056916201
0.094209724,0.180276595,0.043363642,0.056870261
0.094175074,0.180304604,0.043359893,0.056824442
0.094140196,0.180332086,0.043356084,0.056778745
0.094105087,0.180359039,0.043352215,0.056733169
0.094069746,0.180385462,0.043348288,0.056687716
0.094034171,0.180411352,0.043344303,0.056642385
0.093998361,0.180436707,0.043340262,0.056597178
0.093962314,0.180461525,0.043336166,0.056552095
0.093926028,0.180485803,0.043332015,0.056507138
0.093889503,0.180509539,0.043327809,0.056462308
0.093852738,0.18053273,0.043323551,0.056417606
0.09381573,0.180555372,0.04331924,0.056373032
0.093778478,0.180577463,0.043314876,0.056328588
0.093740982,0.180598999,0.043310461,0.056284276
0.093703239,0.180619977,0.043305995,0.056240097
0.093665248,0.180640394,0.043301478,0.056196053
0.093627008,0.180660246,0.04329691,0.056152146
0.093588517,0.180679529,0.043292293,0.056108377
0.093549773,0.18069824,0.043287625,0.056064748
0.093510774,0.180716374,0.043282907,0.056021261
0.09347152,0.180733928,0.04327814,0.055977915
0.093432009,0.180750897,0.043273324,0.055934713
0.093392239,0.180767278,0.043268459,0.055891654
0.093352208,0.180783067,0.043263547,0.055848741
0.093311917,0.18079826,0.043258586,0.055805972
0.093271362,0.180812853,0.043253579,0.055763349
0.093230543,0.180826842,0.043248524,0.055720873
0.09318946,0.180840224,0.043243424,0.055678544
0.093148111,0.180852995,0.043238277,0.055636365
0.093106495,0.18086515,0.043233084,0.055594336
0.093064613,0.180876685,0.043227846,0.055552461
0.093022463,0.180887598,0.043222563,0.055510741
0.092980047,0.180897885,0.043217235,0.055469176
0.092937363,0.180907543,0.043211862,0.055427769
0.092894412,0.18091657,0.043206444,0.05538652
0.092851193,0.180924964,0.043200981,0.05534543
0.092807706,0.180932722,0.043195472,0.0553045
0.092763951,0.180939841,0.043189919,0.055263731
0.092719927,0.180946319,0.043184321,0.055223122
0.092675635,0.180952151,0.043178679,0.055182676
0.092631073,0.180957336,0.043172992,0.055142392
0.092586244,0.180961868,0.043167261,0.055102272
0.092541145,0.180965747,0.043161486,0.055062315
0.092495778,0.180968968,0.043155667,0.055022522
0.092450142,0.180971529,0.043149805,0.054982894
0.092404237,0.180973427,0.0431439,0.054943432
0.092358064,0.180974659,0.043137951,0.054904138
0.092311623,0.180975223,0.04313196,0.054865012
0.092264913,0.180975116,0.043125927,0.054826058
0.092217935,0.180974334,0.043119851,0.054787276
0.092170688,0.180972876,0.043113735,0.05474867
0.092123171,0.180970739,0.043107577,0.054710241
0.092075386,0.180967919,0.04310138,0.054671991
0.09202733,0.180964413,0.043095142,0.054633921
0.091979005,0.180960219,0.043088866,0.054596032
0.091930409,0.180955333,0.043082551,0.054558326
0.091881541,0.180949752,0.043076199,0.054520804
0.091832403,0.180943471,0.04306981,0.054483465
0.091782992,0.180936488,0.043063385,0.054446312
0.091733311,0.1809288,0.043056925,0.054409342
0.091683357,0.180920403,0.04305043,0.054372557
0.091633132,0.180911295,0.0430439,0.054335956
0.091582635,0.180901473,0.043037336,0.054299539
0.091531866,0.180890934,0.043030737,0.054263305
0.091480826,0.180879676,0.043024105,0.054227255
0.091429515,0.180867695,0.04301744,0.054191387
0.091377933,0.18085499,0.043010742,0.054155702
0.09132608,0.180841557,0.043004011,0.0541202
0.091273957,0.180827396,0.042997249,0.054084879
0.091221563,0.180812501,0.042990456,0.054049741
0.0911689,0.180796872,0.042983632,0.054014784
0.091115969,0.180780506,0.042976779,0.053980007
0.091062769,0.180763402,0.042969896,0.053945412
0.091009304,0.180745556,0.042962985,0.053910997
0.090955574,0.180726968,0.042956046,0.053876763
0.09090158,0.180707637,0.04294908,0.053842711
0.090847324,0.18068756,0.042942087,0.053808841
0.090792809,0.180666738,0.042935069,0.053775155
0.090738035,0.180645169,0.042928025,0.053741652
0.090683005,0.180622852,0.042920956,0.053708334
0.09062772,0.180599788,0.042913864,0.053675203
0.090572183,0.180575975,0.042906748,0.05364226
0.090516396,0.180551415,0.042899609,0.053609505
0.090460361,0.180526108,0.042892448,0.053576941
0.090404078,0.180500057,0.042885266,0.053544568
0.090347551,0.180473264,0.042878064,0.053512388
0.090290781,0.180445734,0.042870841,0.053480402
0.090233771,0.18041747,0.0428636,0.053448612
0.090176522,0.180388476,0.04285634,0.053417021
0.090119038,0.180358756,0.042849062,0.05338563
0.090061322,0.180328314,0.042841768,0.053354443
0.090003376,0.180297154,0.042834457,0.053323462
0.089945202,0.180265277,0.042827132,0.053292691
0.089886806,0.180232689,0.042819793,0.053262129
0.089828189,0.180199392,0.042812441,0.053231781
0.089769356,0.180165389,0.042805077,0.053201647
0.089710311,0.180130684,0.042797703,0.053171729
0.089651058,0.180095279,0.042790319,0.053142029
0.0895916,0.180059179,0.042782926,0.053112548
0.089531942,0.180022387,0.042775526,0.053083287
0.089472086,0.179984907,0.042768118,0.053054247
0.089412037,0.179946743,0.042760704,0.053025429
0.089351799,0.179907898,0.042753285,0.052996833
0.089291376,0.179868377,0.042745862,0.05296846
0.089230771,0.179828183,0.042738435,0.052940311
0.089169988,0.179787318,0.042731005,0.052912386
0.089109031,0.179745787,0.042723573,0.052884687
0.089047905,0.179703593,0.04271614,0.052857213
0.088986611,0.179660739,0.042708706,0.052829965
0.088925155,0.17961723,0.042701271,0.052802943
0.08886354,0.17957307,0.042693836,0.052776147
0.088801768,0.179528261,0.042686402,0.052749577
0.088739844,0.179482809,0.042678968,0.052723232
0.08867777,0.179436717,0.042671536,0.052697113
0.088615549,0.179389988,0.042664105,0.05267122
0.088553185,0.179342626,0.042656675,0.052645552
0.088490681,0.179294635,0.042649248,0.05262011
0.088428039,0.179246019,0.042641822,0.052594893
0.088365262,0.179196779,0.042634399,0.0525699
0.088302354,0.179146921,0.042626977,0.052545132
0.088239317,0.179096446,0.042619558,0.052520587
0.088176154,0.179045358,0.042612141,0.052496265
0.088112869,0.17899366,0.042604726,0.052472166
0.088049465,0.178941355,0.042597313,0.05244829
0.087985946,0.178888446,0.042589901,0.052424635
0.087922314,0.178834936,0.042582492,0.052401203
0.087858574,0.178780827,0.042575085,0.052377995
0.08779473,0.178726122,0.042567681,0.052355011
0.087730787,0.178670825,0.04256028,0.052332252
0.087666748,0.17861494,0.042552882,0.052309719
0.087602618,0.17855847,0.042545488,0.052287414
0.087538402,0.17850142,0.042538099,0.052265337
0.087474106,0.178443795,0.042530715,0.052243488
0.087409735,0.178385597,0.042523336,0.05222187
0.087345293,0.178326832,0.042515962,0.052200483
0.087280786,0.178267502,0.042508595,0.052179331
0.087216218,0.178207613,0.042501235,0.052158414
0.087151595,0.178147167,0.042493882,0.052137737
0.087086922,0.178086168,0.042486536,0.052117299
0.087022202,0.178024621,0.042479198,0.052097103
0.086957442,0.177962528,0.042471868,0.052077151
0.086892646,0.177899893,0.042464545,0.052057442
0.086827818,0.177836721,0.04245723,0.052037979
0.086762965,0.177773015,0.042449924,0.052018761
0.08669809,0.17770878,0.042442626,0.05199979
0.086633197,0.177644019,0.042435336,0.051981065
0.086568293,0.177578737,0.042428055,0.051962586
0.08650338,0.177512938,0.042420781,0.051944353
0.086438463,0.177446625,0.042413516,0.051926367
0.086373547,0.177379804,0.042406259,0.051908626
0.086308636,0.177312478,0.04239901,0.051891131
0.086243732,0.177244654,0.042391768,0.05187388
0.086178842,0.177176336,0.042384534,0.051856874
0.086113968,0.177107532,0.042377308,0.051840113
0.086049115,0.177038246,0.042370088,0.051823595
0.085984287,0.176968484,0.042362875,0.05180732
0.085919488,0.176898254,0.042355668,0.051791289
